Column1,set,expt,track,time0,reoYN,runQ,runL,runT,runX,reo#HS,reoQ1,reoQ2,reoHS1,runQ0,runX0,runY0,runX1,runY1
,1,1,1,20240604_145010,1,0.0,2.317578256556189,1,,8,29.06724374645392,29.06724374645392,,,0.0,0.0,2.0256795540384034,1.1259623970687478
,1,1,1,20240604_145010,1,0.0,2.47640627988405,1,,5,29.06724374645392,29.06724374645392,,,2.0256795540384034,1.1259623970687478,4.1901827609797575,2.329089127795712
,1,1,1,20240604_145010,1,0.0,1.3960964412397958,1,,2,29.06724374645392,29.06724374645392,,,4.1901827609797575,2.329089127795712,5.410441023450502,3.0073627054281475
,1,1,1,20240604_145010,1,0.0,2.9512502387653146,1,,2,29.06724374645392,29.06724374645392,,,5.410441023450502,3.0073627054281475,7.989981649794357,4.441185612503451
,1,1,1,20240604_145010,1,0.0,3.552527726593582,1,,8,29.06724374645392,29.06724374645392,,,7.989981649794357,4.441185612503451,11.09506893673175,6.167130625739952
,1,1,1,20240604_145010,1,43.39547311465507,2.166398354422967,1,,10,29.06724374645392,72.46271686110899,,,11.09506893673175,6.167130625739952,12.988609679117745,7.219644419934989
,1,1,1,20240604_145010,1,0.0,2.4506458213583655,1,,9,72.46271686110899,72.46271686110899,,,12.988609679117745,7.219644419934989,13.727053796282128,9.556386859222325
,1,1,1,20240604_145010,1,-98.7024371104311,2.70909487170387,1,,3,72.46271686110899,-26.23972024932212,,,13.727053796282128,9.556386859222325,14.543375417878618,12.13956591496087
,1,1,1,20240604_145010,1,0.0,3.9272819195082276,1,,3,-26.23972024932212,-26.23972024932212,,,14.543375417878618,12.13956591496087,18.06595910645529,10.403205516809095
,1,1,1,20240604_145010,1,0.0,3.0218284211401225,1,,8,-26.23972024932212,-26.23972024932212,,,18.06595910645529,10.403205516809095,20.776394395836935,9.067171254941222
,1,1,1,20240604_145010,1,0.0,4.397111314499159,1,,9,-26.23972024932212,-26.23972024932212,,,20.776394395836935,9.067171254941222,24.720392537750367,7.1230862339918
,1,1,1,20240604_145010,1,0.0,3.758940097519326,1,,4,-26.23972024932212,-26.23972024932212,,,24.720392537750367,7.1230862339918,28.091981678851916,5.461154430233076
,1,1,1,20240604_145010,1,0.0,2.468348464497164,1,,7,-26.23972024932212,-26.23972024932212,,,28.091981678851916,5.461154430233076,30.305971969584537,4.369829027464867
,1,1,1,20240604_145010,1,0.0,2.4016961875170137,1,,10,-26.23972024932212,-26.23972024932212,,,30.305971969584537,4.369829027464867,32.46017836180697,3.3079724472988987
,1,1,1,20240604_145010,1,0.0,1.7958688125539506,1,,1,-26.23972024932212,-26.23972024932212,,,32.46017836180697,3.3079724472988987,34.07098662960717,2.5139689735719593
,1,1,1,20240604_145010,1,0.0,3.145496275850592,1,,10,-26.23972024932212,-26.23972024932212,,,34.07098662960717,2.5139689735719593,36.8923460585675,1.1232577188513466
,1,1,1,20240604_145010,1,0.0,2.735880233798912,1,,10,-26.23972024932212,-26.23972024932212,,,36.8923460585675,1.1232577188513466,39.34629952638632,-0.08635090854495342
,1,1,1,20240604_145010,1,-50.031443158627184,3.083224602011646,1,,9,-26.23972024932212,-76.2711634079493,,,39.34629952638632,-0.08635090854495342,42.11180424793799,-1.449530126962425
,1,1,1,20240604_145010,1,0.0,3.3367171161299503,1,,5,-76.2711634079493,-76.2711634079493,,,42.11180424793799,-1.449530126962425,42.9036976125401,-4.690916560600617
,1,1,1,20240604_145010,1,0.0,2.596242338612699,1,,4,-76.2711634079493,-76.2711634079493,,,42.9036976125401,-4.690916560600617,43.51985625269208,-7.212983730794781
,1,1,1,20240604_145010,1,0.0,2.2922108834152577,1,,1,-76.2711634079493,-76.2711634079493,,,43.51985625269208,-7.212983730794781,44.06385999219716,-9.439705685923407
,1,1,1,20240604_145010,1,0.0,1.8821307168661394,1,,5,-76.2711634079493,-76.2711634079493,,,44.06385999219716,-9.439705685923407,44.51054059895138,-11.268063547754819
,1,1,1,20240604_145010,1,0.0,2.267075343671665,1,,8,-76.2711634079493,-76.2711634079493,,,44.51054059895138,-11.268063547754819,45.048578993943906,-13.470368090591224
,1,1,1,20240604_145010,1,0.0,2.0728765547773156,1,,4,-76.2711634079493,-76.2711634079493,,,45.048578993943906,-13.470368090591224,45.54052875541224,-15.48402214318733
,1,1,1,20240604_145010,1,0.0,2.0257026376843204,1,,1,-76.2711634079493,-76.2711634079493,,,45.54052875541224,-15.48402214318733,46.02128286839493,-17.45185004703752
,1,1,1,20240604_145010,1,0.0,2.9547560154589747,1,,3,-76.2711634079493,-76.2711634079493,,,46.02128286839493,-17.45185004703752,46.72252651633533,-20.322188085860518
,1,1,1,20240604_145010,1,0.0,2.308178338413383,1,,9,-76.2711634079493,-76.2711634079493,,,46.72252651633533,-20.322188085860518,47.27031976547593,-22.56442130257031
,1,1,1,20240604_145010,1,0.0,2.806898310003764,1,,3,-76.2711634079493,-76.2711634079493,,,47.27031976547593,-22.56442130257031,47.93647277438995,-25.291125960470904
,1,1,1,20240604_145010,1,0.0,2.4143682682130168,1,,8,-76.2711634079493,-76.2711634079493,,,47.93647277438995,-25.291125960470904,48.509467770597865,-27.636515239220724
,1,1,1,20240604_145010,1,0.0,3.2967620319167477,1,,4,-76.2711634079493,-76.2711634079493,,,48.509467770597865,-27.636515239220724,49.29187871131765,-30.839088113478205
,1,1,1,20240604_145010,1,0.0,1.9347206591740052,1,,4,-76.2711634079493,-76.2711634079493,,,49.29187871131765,-30.839088113478205,49.751040336063205,-32.71853341233522
,1,1,1,20240604_145010,1,0.0,2.779533809081659,1,,3,-76.2711634079493,-76.2711634079493,,,49.751040336063205,-32.71853341233522,50.41069900759359,-35.41865537863651
,1,1,1,20240604_145010,1,0.0,3.9158187056577622,1,,3,-76.2711634079493,-76.2711634079493,,,50.41069900759359,-35.41865537863651,51.34002886747448,-39.22259835233012
,1,1,1,20240604_145010,1,0.0,2.634144344127073,1,,2,-76.2711634079493,-76.2711634079493,,,51.34002886747448,-39.22259835233012,51.96518268031487,-41.7814846600796
,1,1,1,20240604_145010,1,0.0,3.322362914384558,1,,3,-76.2711634079493,-76.2711634079493,,,51.96518268031487,-41.7814846600796,52.753669403981974,-45.00892699441782
,1,1,1,20240604_145010,1,0.0,2.830715183960526,1,,1,-76.2711634079493,-76.2711634079493,,,52.753669403981974,-45.00892699441782,53.42547480229416,-47.75876807337189
,1,1,1,20240604_145010,1,0.0,3.7604915773774663,1,,10,-76.2711634079493,-76.2711634079493,,,53.42547480229416,-47.75876807337189,54.31794132676275,-51.411821646237996
,1,1,1,20240604_145010,1,104.40681050535795,3.293542382875068,1,,5,-76.2711634079493,28.13564709740865,,,54.31794132676275,-51.411821646237996,55.09958815754342,-54.61126685747774
,1,1,1,20240604_145010,1,0.0,2.4762376208295893,1,,2,28.13564709740865,28.13564709740865,,,55.09958815754342,-54.61126685747774,57.28321781927709,-53.44357072611107
,1,1,1,20240604_145010,1,0.0,3.293276362218723,1,,8,28.13564709740865,28.13564709740865,,,57.28321781927709,-53.44357072611107,60.187339737277,-51.89059130469522
,1,1,1,20240604_145010,1,-72.9628269918274,3.0061010801491626,1,,1,28.13564709740865,-44.82717989441875,,,60.187339737277,-51.89059130469522,62.83822082783413,-50.47303243544125
,1,1,1,20240604_145010,1,0.0,2.474047246212751,1,,9,-44.82717989441875,-44.82717989441875,,,62.83822082783413,-50.47303243544125,64.59290517355741,-52.2171633431906
,1,1,1,20240604_145010,1,65.4719501216671,1.6297289633656018,1,,5,-44.82717989441875,20.644770227248358,,,64.59290517355741,-52.2171633431906,65.74876826556869,-53.366074569769424
,1,1,1,20240604_145010,1,0.0,2.19250984578832,1,,2,20.644770227248358,20.644770227248358,,,65.74876826556869,-53.366074569769424,67.80048461211805,-52.593054869386016
,1,1,1,20240604_145010,1,-92.65277873620803,3.2889026318861747,1,,1,20.644770227248358,-72.00800850895968,,,67.80048461211805,-52.593054869386016,70.87818814216715,-51.43347671197221
,1,1,1,20240604_145010,1,0.0,2.3790065966281904,1,,2,-72.00800850895968,-72.00800850895968,,,70.87818814216715,-51.43347671197221,71.61302535273205,-53.69614917186773
,1,1,1,20240604_145010,1,0.0,3.4306129809504533,1,,3,-72.00800850895968,-72.00800850895968,,,71.61302535273205,-53.69614917186773,72.6726870102585,-56.959004148208855
,1,1,1,20240604_145010,1,0.0,3.17480799578861,1,,9,-72.00800850895968,-72.00800850895968,,,72.6726870102585,-56.959004148208855,73.65333458602018,-59.978563079953034
,1,1,1,20240604_145010,1,0.0,2.620265474210134,1,,2,-72.00800850895968,-72.00800850895968,,,73.65333458602018,-59.978563079953034,74.46269281761866,-62.470696785892876
,1,1,1,20240604_145010,1,0.0,2.681039659981362,1,,3,-72.00800850895968,-72.00800850895968,,,74.46269281761866,-62.470696785892876,75.29082322631399,-65.02063280167583
,1,1,1,20240604_145010,1,0.0,1.8393863646475355,1,,3,-72.00800850895968,-72.00800850895968,,,75.29082322631399,-65.02063280167583,75.85898035007499,-66.77007262092395
,1,1,1,20240604_145010,1,0.0,1.7785496561626413,1,,5,-72.00800850895968,-72.00800850895968,,,75.85898035007499,-66.77007262092395,76.40834598446965,-68.46165066499476
,1,1,1,20240604_145010,1,0.0,1.8934827413564101,1,,8,-72.00800850895968,-72.00800850895968,,,76.40834598446965,-68.46165066499476,76.99321261656861,-70.26254153189143
,1,1,1,20240604_145010,1,38.3245990713818,1.741861692285049,1,,3,-72.00800850895968,-33.68340943757788,,,76.99321261656861,-70.26254153189143,77.53124592381658,-71.91922566453167
,1,1,1,20240604_145010,1,0.0,3.4797448543719782,1,,8,-33.68340943757788,-33.68340943757788,,,77.53124592381658,-71.91922566453167,80.42679293630958,-73.84910435242145
,1,1,1,20240604_145010,1,0.0,3.9769459129053306,1,,8,-33.68340943757788,-33.68340943757788,,,80.42679293630958,-73.84910435242145,83.7360682823141,-76.05473248937045
,1,1,1,20240604_145010,1,-88.27884448508127,2.971911466151468,1,,7,-33.68340943757788,-121.96225392265914,,,83.7360682823141,-76.05473248937045,86.2090396429576,-77.70296500090501
,1,1,1,20240604_145010,1,0.0,2.6993419758159107,1,,7,-121.96225392265914,-121.96225392265914,,,86.2090396429576,-77.70296500090501,84.7801147306475,-79.9930786874676
