Column1,set,expt,track,time0,reoYN,runQ,runL,runT,runX,reo#HS,reoQ1,reoQ2,reoHS1,runQ0,runX0,runY0,runX1,runY1
,1,1,1,1,1,0.0,2.185625920320243,1,-0.5837287386361604,3,105.49035951099214,105.49035951099214,,,0.0,0.0,-0.5837287386361604,2.106233943147329
,1,1,1,2,1,47.057023131748764,3.209400297427358,1,-1.44088328186252,4,105.49035951099214,152.5473826427409,,,-0.5837287386361604,2.106233943147329,-1.44088328186252,5.199054073409227
,1,1,1,3,1,0.0,3.7257268720950436,1,-4.747064948417054,8,152.5473826427409,152.5473826427409,,,-1.44088328186252,5.199054073409227,-4.747064948417054,6.916669721099304
,1,1,1,4,1,0.0,3.2869865849548923,1,-7.663911823796742,5,152.5473826427409,152.5473826427409,,,-4.747064948417054,6.916669721099304,-7.663911823796742,8.43201955373241
,1,1,1,5,1,0.0,3.7671515471979418,1,-11.006853431718413,10,152.5473826427409,152.5473826427409,,,-7.663911823796742,8.43201955373241,-11.006853431718413,10.168732594387635
,1,1,1,6,1,56.17643501076634,1.7600322662093966,1,-12.56869266761866,4,152.5473826427409,208.72381765350724,,,-11.006853431718413,10.168732594387635,-12.56869266761866,10.980133715474313
,1,1,1,7,1,0.0,3.788357843859071,1,-15.890879670693183,5,208.72381765350724,208.72381765350724,,,-12.56869266761866,10.980133715474313,-15.890879670693183,9.15949408344076
,1,1,1,8,1,0.0,1.8805508840097225,1,-17.540022112610245,10,208.72381765350724,208.72381765350724,,,-15.890879670693183,9.15949408344076,-17.540022112610245,8.255723740036212
,1,1,1,9,1,-16.70968111524806,2.0425286021703366,1,-19.33121034118211,4,208.72381765350724,192.01413653825918,,,-17.540022112610245,8.255723740036212,-19.33121034118211,7.274108835651866
,1,1,1,10,1,0.0,3.2848048257647267,1,-22.544065699089604,5,192.01413653825918,192.01413653825918,,,-19.33121034118211,7.274108835651866,-22.544065699089604,6.5903667844861085
,1,1,1,11,1,0.0,3.39233178843792,1,-25.8620927784444,5,192.01413653825918,192.01413653825918,,,-22.544065699089604,6.5903667844861085,-25.8620927784444,5.884242671093358
,1,1,1,12,1,0.0,2.9409194257101987,1,-28.7385951081886,4,192.01413653825918,192.01413653825918,,,-25.8620927784444,5.884242671093358,-28.7385951081886,5.272081405170907
,1,1,1,13,1,0.0,2.7047134969947235,1,-31.38406529937451,7,192.01413653825918,192.01413653825918,,,-28.7385951081886,5.272081405170907,-31.38406529937451,4.7090871171250885
,1,1,1,14,1,75.84617337935063,3.9940495333141883,1,-35.290630262444715,5,192.01413653825918,267.8603099176098,,,-31.38406529937451,4.7090871171250885,-35.290630262444715,3.877713636744833
,1,1,1,15,1,0.0,3.0832910638510413,1,-35.40574788576455,3,267.8603099176098,267.8603099176098,,,-35.290630262444715,3.877713636744833,-35.40574788576455,0.7965723356641958
,1,1,1,16,1,0.0,3.3018142872228697,1,-35.52902428280824,7,267.8603099176098,267.8603099176098,,,-35.40574788576455,0.7965723356641958,-35.52902428280824,-2.5029398278595267
,1,1,1,17,1,0.0,3.2569959810382794,1,-35.65062734548863,1,267.8603099176098,267.8603099176098,,,-35.52902428280824,-2.5029398278595267,-35.65062734548863,-5.757664933862529
,1,1,1,18,1,0.0,2.487193602945368,1,-35.74348909949694,9,267.8603099176098,267.8603099176098,,,-35.65062734548863,-5.757664933862529,-35.74348909949694,-8.243124391020272
,1,1,1,19,1,0.0,1.85185065327299,1,-35.812629716303256,7,267.8603099176098,267.8603099176098,,,-35.74348909949694,-8.243124391020272,-35.812629716303256,-10.093683878617265
,1,1,1,20,1,0.0,3.4109305232357126,1,-35.939980072468956,6,267.8603099176098,267.8603099176098,,,-35.812629716303256,-10.093683878617265,-35.939980072468956,-13.502236199049726
,1,1,1,21,1,0.0,1.8159194980305096,1,-36.00777916519954,2,267.8603099176098,267.8603099176098,,,-35.939980072468956,-13.502236199049726,-36.00777916519954,-15.3168895836806
,1,1,1,22,1,0.0,2.593001105814146,1,-36.10459134361068,2,267.8603099176098,267.8603099176098,,,-36.00777916519954,-15.3168895836806,-36.10459134361068,-17.908082771550752
,1,1,1,23,1,0.0,2.7448232533983448,1,-36.20707194723217,5,267.8603099176098,267.8603099176098,,,-36.10459134361068,-17.908082771550752,-36.20707194723217,-20.650992252061847
,1,1,1,24,1,0.0,2.5769369592412454,1,-36.30328435535376,8,267.8603099176098,267.8603099176098,,,-36.20707194723217,-20.650992252061847,-36.30328435535376,-23.22613249376267
,1,1,1,25,1,149.13846009643464,1.8411097294858307,1,-36.372023949488835,9,267.8603099176098,416.99877001404445,,,-36.30328435535376,-23.22613249376267,-36.372023949488835,-25.065958546465897
,1,1,1,26,1,0.0,3.5670570187665636,1,-34.429201236109435,10,416.99877001404445,416.99877001404445,,,-36.372023949488835,-25.065958546465897,-34.429201236109435,-22.07441451712103
,1,1,1,27,1,0.0,2.8280681812193382,1,-32.88887399475841,1,416.99877001404445,416.99877001404445,,,-34.429201236109435,-22.07441451712103,-32.88887399475841,-19.702630035517103
,1,1,1,28,1,0.0,3.317296298990299,1,-31.082085215442422,6,416.99877001404445,416.99877001404445,,,-32.88887399475841,-19.702630035517103,-31.082085215442422,-16.92055005064381
,1,1,1,29,1,0.0,2.5617151194995667,1,-29.686829043985945,2,416.99877001404445,416.99877001404445,,,-31.082085215442422,-16.92055005064381,-29.686829043985945,-14.772144928353022
,1,1,1,30,1,0.0,2.288227087585683,1,-28.440530054162483,8,416.99877001404445,416.99877001404445,,,-29.686829043985945,-14.772144928353022,-28.440530054162483,-12.853102971457375
,1,1,1,31,1,0.0,1.9661620698099296,1,-27.369646043249574,1,416.99877001404445,416.99877001404445,,,-28.440530054162483,-12.853102971457375,-27.369646043249574,-11.204163700310513
,1,1,1,32,1,0.0,1.8077980956967146,1,-26.38501608554341,6,416.99877001404445,416.99877001404445,,,-27.369646043249574,-11.204163700310513,-26.38501608554341,-9.688037781663839
,1,1,1,33,1,0.0,2.7501881526607797,1,-24.88710674993546,5,416.99877001404445,416.99877001404445,,,-26.38501608554341,-9.688037781663839,-24.88710674993546,-7.381568077259669
,1,1,1,34,1,-101.18070012809596,3.09786798168249,1,-23.199831148172105,8,416.99877001404445,315.8180698859485,,,-24.88710674993546,-7.381568077259669,-23.199831148172105,-4.783513598302836
,1,1,1,35,1,-68.89373281139419,2.4014999969847013,1,-21.477642390917357,5,315.8180698859485,246.9243370745543,,,-23.199831148172105,-4.783513598302836,-21.477642390917357,-6.457212531774106
,1,1,1,36,1,0.0,4.01589655677697,1,-23.051658492449512,6,246.9243370745543,246.9243370745543,,,-21.477642390917357,-6.457212531774106,-23.051658492449512,-10.15178943134605
,1,1,1,37,1,0.0,3.74401981483043,1,-24.519113490276496,9,246.9243370745543,246.9243370745543,,,-23.051658492449512,-10.15178943134605,-24.519113490276496,-13.59624297337496
,1,1,1,38,1,0.0,2.4285934651316694,1,-25.470991897538298,6,246.9243370745543,246.9243370745543,,,-24.519113490276496,-13.59624297337496,-25.470991897538298,-15.830519974256672
,1,1,1,39,1,0.0,3.586991872502023,1,-26.876900362450165,8,246.9243370745543,246.9243370745543,,,-25.470991897538298,-15.830519974256672,-26.876900362450165,-19.130509683586798
,1,1,1,40,1,0.0,2.75810763841768,1,-27.95793065574847,10,246.9243370745543,246.9243370745543,,,-26.876900362450165,-19.130509683586798,-27.95793065574847,-21.667935790898955
,1,1,1,41,1,0.0,4.485865540202577,1,-29.716149397133055,2,246.9243370745543,246.9243370745543,,,-27.95793065574847,-21.667935790898955,-29.716149397133055,-25.794878545798877
,1,1,1,42,1,0.0,2.516788407299193,1,-30.702595492352636,9,246.9243370745543,246.9243370745543,,,-29.716149397133055,-25.794878545798877,-30.702595492352636,-28.110293840803568
,1,1,1,43,1,0.0,3.3176504763998897,1,-32.00293657317477,3,246.9243370745543,246.9243370745543,,,-30.702595492352636,-28.110293840803568,-32.00293657317477,-31.162492680506304
,1,1,1,44,1,0.0,3.2056462767058447,1,-33.25937801383806,6,246.9243370745543,246.9243370745543,,,-32.00293657317477,-31.162492680506304,-33.25937801383806,-34.11164899334257
,1,1,1,45,1,0.0,2.4359700309950654,1,-34.21414763935682,3,246.9243370745543,246.9243370745543,,,-33.25937801383806,-34.11164899334257,-34.21414763935682,-36.3527123467739
,1,1,1,46,1,0.0,2.2926975834247645,1,-35.11276214828,1,246.9243370745543,246.9243370745543,,,-34.21414763935682,-36.3527123467739,-35.11276214828,-38.46196675850201
,1,1,1,47,1,0.0,2.5474968309922885,1,-36.111244298876564,6,246.9243370745543,246.9243370745543,,,-35.11276214828,-38.46196675850201,-36.111244298876564,-40.805633436776844
,1,1,1,48,1,0.0,2.5840171050968466,1,-37.12404043855632,10,246.9243370745543,246.9243370745543,,,-36.111244298876564,-40.805633436776844,-37.12404043855632,-43.18289833133169
,1,1,1,49,1,0.0,4.150437360176742,1,-38.75078932039551,1,246.9243370745543,246.9243370745543,,,-37.12404043855632,-43.18289833133169,-38.75078932039551,-47.00125116418853
,1,1,1,50,1,0.0,2.6824368833346597,1,-39.80216073547526,6,246.9243370745543,246.9243370745543,,,-38.75078932039551,-47.00125116418853,-39.80216073547526,-49.46906108001012
,1,1,1,51,1,0.0,1.5103253995010826,1,-40.39412730228236,6,246.9243370745543,246.9243370745543,,,-39.80216073547526,-49.46906108001012,-40.39412730228236,-50.85854242071273
,1,1,1,52,1,0.0,2.0586927621088167,1,-41.201024469540975,8,246.9243370745543,246.9243370745543,,,-40.39412730228236,-50.85854242071273,-41.201024469540975,-52.75251518984888
,1,1,1,53,1,0.0,3.6607622856880937,1,-42.63584698055186,1,246.9243370745543,246.9243370745543,,,-41.201024469540975,-52.75251518984888,-42.63584698055186,-56.12037279880635
,1,1,1,54,1,0.0,2.123028783594454,1,-43.46796041827343,8,246.9243370745543,246.9243370745543,,,-42.63584698055186,-56.12037279880635,-43.46796041827343,-58.07353393981181
,1,1,1,55,1,0.0,2.768426470516142,1,-44.55303514041654,1,246.9243370745543,246.9243370745543,,,-43.46796041827343,-58.07353393981181,-44.55303514041654,-60.620453249491746
,1,1,1,56,1,0.0,3.0974267599986143,1,-45.76706033370171,5,246.9243370745543,246.9243370745543,,,-44.55303514041654,-60.620453249491746,-45.76706033370171,-63.47004889863645
,1,1,1,57,1,0.0,3.20663854505644,1,-47.02389069034896,9,246.9243370745543,246.9243370745543,,,-45.76706033370171,-63.47004889863645,-47.02389069034896,-66.42011808651182
,1,1,1,58,1,0.0,3.1172369860385745,1,-48.24568042993681,7,246.9243370745543,246.9243370745543,,,-47.02389069034896,-66.42011808651182,-48.24568042993681,-69.28793890716375
,1,1,1,59,1,0.0,2.9125449017932636,1,-49.38724184892348,1,246.9243370745543,246.9243370745543,,,-48.24568042993681,-69.28793890716375,-49.38724184892348,-71.96744545345975
,1,1,1,60,1,0.0,2.3333320819683427,1,-50.30178290228849,8,246.9243370745543,246.9243370745543,,,-49.38724184892348,-71.96744545345975,-50.30178290228849,-74.11408311884549
,1,1,1,61,1,0.0,2.1981674614824356,1,-51.1633466725003,5,246.9243370745543,246.9243370745543,,,-50.30178290228849,-74.11408311884549,-51.1633466725003,-76.1363709466728
,1,1,1,62,1,0.0,1.465287810171889,1,-51.73766091938926,1,246.9243370745543,246.9243370745543,,,-51.1633466725003,-76.1363709466728,-51.73766091938926,-77.48441824274913
,1,1,1,63,1,0.0,3.7943109500070378,1,-53.22482734539004,5,246.9243370745543,246.9243370745543,,,-51.73766091938926,-77.48441824274913,-53.22482734539004,-80.97513902887903
,1,1,1,64,1,0.0,2.252252054776539,1,-54.10758937593704,5,246.9243370745543,246.9243370745543,,,-53.22482734539004,-80.97513902887903,-54.10758937593704,-83.04718403699773
,1,1,1,65,1,0.0,3.3905407497640874,1,-55.4364995352447,6,246.9243370745543,246.9243370745543,,,-54.10758937593704,-83.04718403699773,-55.4364995352447,-86.16644105819681
,1,1,1,66,1,39.04909677440631,2.7296417323694757,1,-56.50637271982989,10,246.9243370745543,285.9734338489606,,,-55.4364995352447,-86.16644105819681,-56.50637271982989,-88.67767887170604
,1,1,1,67,1,0.0,3.6530966655647905,1,-55.50107112652881,7,285.9734338489606,285.9734338489606,,,-56.50637271982989,-88.67767887170604,-55.50107112652881,-92.18972727035701
,1,1,1,68,1,0.0,2.5326967737146253,1,-54.80409419570615,9,285.9734338489606,285.9734338489606,,,-55.50107112652881,-92.18972727035701,-54.80409419570615,-94.62463509314733
,1,1,1,69,1,32.45712864702904,2.294317715657278,1,-54.17271718429806,2,285.9734338489606,318.43056249598965,,,-54.80409419570615,-94.62463509314733,-54.17271718429806,-96.83036781717448
,1,1,1,70,1,0.0,3.7847867465585234,1,-51.341120906603216,7,318.43056249598965,318.43056249598965,,,-54.17271718429806,-96.83036781717448,-51.341120906603216,-99.34167688558279
,1,1,1,71,1,0.0,3.317145040073217,1,-48.85939176913304,3,318.43056249598965,318.43056249598965,,,-51.341120906603216,-99.34167688558279,-48.85939176913304,-101.54269294756732
,1,1,1,72,1,74.55332012008563,3.312764497442527,1,-46.380939943976074,6,318.43056249598965,392.9838826160753,,,-48.85939176913304,-101.54269294756732,-46.380939943976074,-103.74080240023153
,1,1,1,73,1,0.0,1.925527576842141,1,-44.765761695695645,7,392.9838826160753,392.9838826160753,,,-46.380939943976074,-103.74080240023153,-44.765761695695645,-102.69253922933343
,1,1,1,74,1,0.0,2.0965243722651703,1,-43.00714727552414,1,392.9838826160753,392.9838826160753,,,-44.765761695695645,-102.69253922933343,-43.00714727552414,-101.55118487390007
,1,1,1,75,1,0.0,2.2184703401316597,1,-41.14624168220492,6,392.9838826160753,392.9838826160753,,,-43.00714727552414,-101.55118487390007,-41.14624168220492,-100.34344275622878
,1,1,1,76,1,0.0,2.4749010571425387,1,-39.070235915152445,6,392.9838826160753,392.9838826160753,,,-41.14624168220492,-100.34344275622878,-39.070235915152445,-98.99609896275582
,1,1,1,77,1,0.0,2.970238008157109,1,-36.578729753054795,6,392.9838826160753,392.9838826160753,,,-39.070235915152445,-98.99609896275582,-36.578729753054795,-97.37909220045377
,1,1,1,78,1,0.0,2.6813449869925305,1,-34.32955391615056,4,392.9838826160753,392.9838826160753,,,-36.578729753054795,-97.37909220045377,-34.32955391615056,-95.91935969278117
