Column1,set,expt,track,time0,reoYN,runQ,runL,runT,runX,reo#HS,reoQ1,reoQ2,reoHS1,runQ0,runX0,runY0,runX1,runY1
,1,1,1,6.482315749857649,1,0.30803405169189935,2.4289497942518334,1.0,-2.8055198249278654,1,3.3548355050990493,3.6628695567909486,1,3.3548355050990493,0.0,0.0,-2.8055198249278654,-0.6074931635839503
,1,1,1,7.482315749857649,1,-0.3365099855110705,1.9902604887426243,0.8824351529072995,-5.193126704256821,1,3.6628695567909486,3.326359571279878,2,3.6628695567909486,-2.8055198249278654,-0.6074931635839503,-5.193126704256821,-1.0537335615501924
,1,1,1,8.482315749857648,1,-0.3365099855110709,2.372801708787321,-4.679062850816954,-7.1605172991642645,1,3.326359571279878,2.989849585768807,3,3.326359571279878,-5.193126704256821,-1.0537335615501924,-7.1605172991642645,-0.7528830004409162
,1,1,1,9.482315749857648,1,-0.3365099855110696,2.533145221958925,-2.5980789867627747,-9.256065836836408,1,2.989849585768807,2.6533396002577376,1,2.989849585768807,-7.1605172991642645,-0.7528830004409162,-9.256065836836408,0.36015979994196723
,1,1,1,10.599880596950348,1,-0.8823721246648439,2.723789324733253,0.13744594937711763,-11.493222336652044,3,2.6533396002577376,1.7709674755928937,5,2.6533396002577376,-9.256065836836408,0.36015979994196723,-11.493222336652044,1.5484171419626191
,1,1,1,11.599880596950348,1,4.087212799688444,2.612304430519069,-6.016868637079375,-9.011750412643595,5,1.7709674755928937,5.858180275281338,1,1.7709674755928937,-11.493222336652044,1.5484171419626191,-9.011750412643595,0.42532971175576484
,1,1,1,12.599880596950348,1,-2.195972507491142,4.083874317930905,0.17532115876845533,-11.27795945220007,3,5.858180275281338,3.6622077677901963,5,5.858180275281338,-9.011750412643595,0.42532971175576484,-11.27795945220007,-0.8740666968671278
,1,1,1,13.599880596950348,1,-2.195972507491141,3.183644908062168,-0.4577723213351208,-10.851722865171483,1,3.6622077677901963,1.4662352602990554,1,3.6622077677901963,-11.27795945220007,-0.8740666968671278,-10.851722865171483,3.1875034202838544
,1,1,1,14.599880596950348,1,4.087212799688445,2.7752488747778052,-1.4011328459014147,-8.478794411216107,1,1.4662352602990554,5.553448059987501,5,1.4662352602990554,-10.851722865171483,3.1875034202838544,-8.478794411216107,1.065050722804092
,1,1,1,21.2789434477673,1,-1.4420574064172609,2.893148700061257,1.4552251074852327,-6.410263776693691,1,5.553448059987501,4.11139065357024,1,5.553448059987501,-8.478794411216107,1.065050722804092,-6.410263776693691,-0.7851350330047044
