Column1,set,expt,track,time0,reoYN,runQ,runL,runT,runX,reo#HS,reoQ1,reoQ2,reoHS1,runQ0,runX0,runY0,runX1,runY1
,1,1,1,7.0,1,-0.397907065546117,3.2029375334477184,7.0,1.6144811822591942,2,4.783266082232809,4.385359016686692,1,4.783266082232809,0.0,0.0,1.6144811822591942,-22.740444395188852
,1,1,1,10.0,1,-0.26897447249499606,3.0891161378694796,3.0,-1.2840893274882643,4,4.385359016686692,4.116384544191696,3,4.385359016686692,1.6144811822591942,-22.740444395188852,-1.2840893274882643,-31.285513040084105
,1,1,1,11.0,1,-1.5444897301997496,2.1538233092383945,1.0,-2.786356918040144,1,4.116384544191696,2.5718948139919466,1,4.116384544191696,-1.2840893274882643,-31.285513040084105,-2.786356918040144,-33.50030906737065
,1,1,1,25.0,1,-1.4674516196517484,2.7118385377735774,14.0,-39.569807469894066,1,2.5718948139919466,1.1044431943401982,2,2.5718948139919466,-2.786356918040144,-33.50030906737065,-39.569807469894066,-9.938951796198022
,1,1,1,38.0,1,5.028430470924859,4.35599889225529,13.0,-20.524229258245516,1,1.1044431943401982,6.132873665265057,1,1.1044431943401982,-39.569807469894066,-9.938951796198022,-20.524229258245516,27.895949318619813
,1,1,1,41.0,1,-0.9424484557540715,4.63910063857988,3.0,-11.322012151745998,5,6.132873665265057,5.190425209510986,1,6.132873665265057,-20.524229258245516,27.895949318619813,-11.322012151745998,26.502236789001387
,1,1,1,43.0,1,-0.7577168633246583,2.6448681835359746,2.0,-8.933732808332875,5,5.190425209510986,4.4327083461863275,1,5.190425209510986,-11.322012151745998,26.502236789001387,-8.933732808332875,21.89270332504112
,1,1,1,45.0,1,-4.090918802822365,2.499302314415542,2.0,-9.826119833571008,1,4.4327083461863275,0.34178954336396195,1,4.4327083461863275,-8.933732808332875,21.89270332504112,-9.826119833571008,18.78559903022152
,1,1,1,46.0,1,5.634785581427782,2.6379052121475453,1.0,-5.818242797839621,1,0.34178954336396195,5.9765751247917445,1,0.34178954336396195,-9.826119833571008,18.78559903022152,-5.818242797839621,20.21140779491162
,1,1,1,48.0,1,-1.024170539167609,3.886090603608031,2.0,-1.0888376272908933,5,5.9765751247917445,4.952404585624135,1,5.9765751247917445,-5.818242797839621,20.21140779491162,-1.0888376272908933,18.714106971525254
,1,1,1,60.0,1,-0.04444277033852195,2.6762154913434806,12.0,7.431162439952997,1,4.952404585624135,4.9079618152856135,1,4.952404585624135,-1.0888376272908933,18.714106971525254,7.431162439952997,-16.099308558955347
,1,1,1,61.0,1,-1.5740788518578226,3.407282642390799,1.0,7.885697921153484,1,4.9079618152856135,3.333882963427791,1,4.9079618152856135,7.431162439952997,-16.099308558955347,7.885697921153484,-18.393724932026657
,1,1,1,65.0,1,-0.5697666288176864,3.04390808680645,4.0,-4.291829994154789,1,3.333882963427791,2.7641163346101045,1,3.333882963427791,7.885697921153484,-18.393724932026657,-4.291829994154789,-20.76463980675954
,1,1,1,67.0,1,-0.8656362246501477,3.5311798604863642,2.0,-11.192571008049345,1,2.7641163346101045,1.8984801099599569,2,2.7641163346101045,-4.291829994154789,-20.76463980675954,-11.192571008049345,-18.02856930284656
,1,1,1,68.0,1,0.6017648077285904,2.7944654340778077,1.0,-12.883216080574464,1,1.8984801099599569,2.5002449176885473,1,1.8984801099599569,-11.192571008049345,-18.02856930284656,-12.883216080574464,-13.055190802935199
,1,1,1,69.0,1,0.2947507416228867,3.9630400416953355,1.0,-14.99611741565713,1,2.5002449176885473,2.794995659311434,1,2.5002449176885473,-12.883216080574464,-13.055190802935199,-14.99611741565713,-11.477612512796243
,1,1,1,71.0,1,-1.7535952809251514,2.347858780030794,2.0,-20.60890040894404,1,2.794995659311434,1.0414003783862826,1,2.794995659311434,-14.99611741565713,-11.477612512796243,-20.60890040894404,-9.450405385683027
,1,1,1,80.0,1,3.7448938133922693,2.426853919755403,9.0,-8.861150523837422,0,1.0414003783862826,4.786294191778552,1,1.0414003783862826,-20.60890040894404,-9.450405385683027,-8.861150523837422,10.627584479290885
,1,1,1,84.0,1,-4.509905321931051,3.301342600895812,4.0,-8.139727560132163,1,4.786294191778552,0.27638886984750055,1,4.786294191778552,-8.861150523837422,10.627584479290885,-8.139727560132163,0.8839005684862209
,1,1,1,85.0,1,1.2426406759980138,2.416953830575227,1.0,-6.083940642473602,1,0.27638886984750055,1.5190295458455143,1,0.27638886984750055,-8.139727560132163,0.8839005684862209,-6.083940642473602,1.4670217296985946
,1,1,1,96.0,1,1.914122836391325,3.180622435795118,11.0,-4.389240640005145,1,1.5190295458455143,3.4331523822368393,1,1.5190295458455143,-6.083940642473602,1.4670217296985946,-4.389240640005145,34.17498390344226
,1,1,1,116.0,1,0.7958888204621886,2.739467724324192,20.0,-58.02179465609918,1,3.4331523822368393,4.229041202699028,1,3.4331523822368393,-4.389240640005145,34.17498390344226,-58.02179465609918,18.079200034362234
,1,1,1,119.0,1,-1.2735185150781976,2.841656103956443,3.0,-62.51460638412854,1,4.229041202699028,2.9555226876208303,1,4.229041202699028,-58.02179465609918,18.079200034362234,-62.51460638412854,9.51939983131643
,1,1,1,123.0,1,0.8970344358949465,3.6803258239970904,4.0,-74.83532322853192,1,2.9555226876208303,3.8525571235157767,0,2.9555226876208303,-62.51460638412854,9.51939983131643,-74.83532322853192,11.838743983767246
,1,1,1,126.0,1,-0.7775142301665698,4.007531093973389,3.0,-79.97666440190505,1,3.8525571235157767,3.075042893349207,1,3.8525571235157767,-74.83532322853192,11.838743983767246,-79.97666440190505,7.410984629750273
,1,1,1,134.0,1,0.8796264468969457,1.524127164668208,8.0,-104.29935877674355,1,3.075042893349207,3.9546693402461526,1,3.075042893349207,-79.97666440190505,7.410984629750273,-104.29935877674355,9.032047975623357
,1,1,1,141.0,1,-0.22320440772840033,3.50535789579551,7.0,-119.96917401878692,1,3.9546693402461526,3.7314649325177522,4,3.9546693402461526,-104.29935877674355,9.032047975623357,-119.96917401878692,-7.530129106959608
,1,1,1,146.0,1,-1.4427220335239173,3.7851353918069046,5.0,-132.72631126024507,1,3.7314649325177522,2.288742898993835,1,3.7314649325177522,-119.96917401878692,-7.530129106959608,-132.72631126024507,-16.06938276844339
,1,1,1,168.0,1,-1.3899041976560857,3.8783845920475986,22.0,-173.37938104187754,1,2.288742898993835,0.8988387013377492,2,2.288742898993835,-132.72631126024507,-16.06938276844339,-173.37938104187754,30.474174302698383
,1,1,1,178.0,1,2.094039949875869,3.9479648619342695,10.0,-155.47537636044197,1,0.8988387013377492,2.9928786512136183,1,0.8988387013377492,-173.37938104187754,30.474174302698383,-155.47537636044197,52.98232213335487
,1,1,1,186.0,1,1.4274909209430406,3.061769637421507,8.0,-180.02631514099116,4,2.9928786512136183,4.420369572156659,3,2.9928786512136183,-155.47537636044197,52.98232213335487,-180.02631514099116,56.66054625483945
,1,1,1,218.0,1,1.055705358773782,2.514808585770565,32.0,-205.71322894878014,2,4.420369572156659,5.476074930930441,0,4.420369572156659,-180.02631514099116,56.66054625483945,-205.71322894878014,-28.78779989354405
